ngram	id
qui devait être l' équivalent	ngid_403
être obligés de	ngid_404
le voir	ngid_405
nicolas sarkozy	ngid_406
que la france s'	ngid_407
alors il est	ngid_408
je confonds l' espagne et	ngid_409
je donne	ngid_410
là - dessus	ngid_411
quand - même une chose	ngid_412
est pas	ngid_413
il a fait ça	ngid_414
était athée	ngid_415
une différence	ngid_416
a même	ngid_417
de chômage	ngid_418
ce qui est	ngid_419
je me suis	ngid_420
je n' avais pas	ngid_421
avoir des	ngid_422
quoi ah oui	ngid_423
s' étend	ngid_424
ça ne	ngid_425
c' est que l'	ngid_426
voté pour	ngid_427
les idées	ngid_428
que moi je	ngid_429
travaille dans le bâtiment	ngid_430
ça n'	ngid_431
le budget	ngid_432
- là	ngid_433
on est au courant	ngid_434
fait quand	ngid_435
les travailleurs	ngid_436
il fallait	ngid_437
il n'	ngid_438
ça doit être	ngid_439
avec une petite	ngid_440
il ne	ngid_441
moins que	ngid_442
elle était	ngid_443
moi je fais une différence	ngid_444
est - ce que	ngid_445
pas la	ngid_446
faire des	ngid_447
pas l'	ngid_448
une partie	ngid_449
les grandes	ngid_450
et c'	ngid_451
et à	ngid_452
il fallait le faire	ngid_453
en crise	ngid_454
il y a	ngid_455
100 000	ngid_456
l' histoire de	ngid_457
ça doit	ngid_458
n' était	ngid_459
il a été	ngid_460
ils ont pris	ngid_461
dans le secteur	ngid_462
de pouvoir	ngid_463
de la france	ngid_464
le ministre	ngid_465
ça ne vaut	ngid_466
je pense	ngid_467
de jeunes	ngid_468
65 ans	ngid_469
« il	ngid_470
une situation	ngid_471
une erreur	ngid_472
on n' était pas	ngid_473
quoi eh bien	ngid_474
ne s' en sort pas	ngid_475
000 frs	ngid_476
ils viennent	ngid_477
s' engager	ngid_478
des gens à	ngid_479
la retraite	ngid_480
n' avait	ngid_481
ils ont l' air d'	ngid_482
et puis alors	ngid_483
est ce qui se dit	ngid_484
ont des	ngid_485
n' y a	ngid_486
y a des gens qui	ngid_487
leur retraite	ngid_488
n' est pas très	ngid_489
on en crève	ngid_490
mais on	ngid_491
char franco - allemand	ngid_492
à partir du moment où	ngid_493
parce que malgré tout	ngid_494
n' étaient pas	ngid_495
elle se	ngid_496
il veut	ngid_497
et surtout	ngid_498
que les socialistes	ngid_499
un gars qui	ngid_500
que ça coule	ngid_501
la télévision	ngid_502
ils ont des	ngid_503
laisser - aller	ngid_504
dizaines de	ngid_505
parce qu' on ne peut	ngid_506
la banque	ngid_507
ne l'	ngid_508
de faire des	ngid_509
a quand même	ngid_510
l' époque	ngid_511
ça vaut	ngid_512
ce n' est pas à	ngid_513
- ce que vous voulez	ngid_514
ah oui	ngid_515
arrive à	ngid_516
i1 faut	ngid_517
pris des mesures	ngid_518
ai entendu dire	ngid_519
la médecine	ngid_520
ne me	ngid_521
aux socialistes	ngid_522
j' étais dans l' hésitation	ngid_523
l' europe	ngid_524
il faut avoir	ngid_525
et puis alors ils	ngid_526
y a quand même des	ngid_527
ma mère	ngid_528
commence à	ngid_529
à orly	ngid_530
près de	ngid_531
ça coûte	ngid_532
qu' il y aurait	ngid_533
un parti	ngid_534
qu' il ne	ngid_535
notre seul	ngid_536
millions de centimes	ngid_537
et puis on ne	ngid_538
qu' il fallait	ngid_539
moi je	ngid_540
et il y a	ngid_541
l' embauche obligatoire	ngid_542
on n' en a pas	ngid_543
la mémoire	ngid_544
ceux -	ngid_545
ils allaient	ngid_546
peut - être qu' ils	ngid_547
ne va	ngid_548
aussi on	ngid_549
trop de	ngid_550
tout ce qu'	ngid_551
une chose qui	ngid_552
n' arrive	ngid_553
y a un manque de	ngid_554
au même	ngid_555
une femme	ngid_556
des maux	ngid_557
ils ne peuvent pas	ngid_558
alors surtout	ngid_559
ça n' a	ngid_560
ce moment	ngid_561
ce n' est pas le	ngid_562
là mais	ngid_563
vous trouvez qu' il	ngid_564
se sont	ngid_565
derniers gouvernements	ngid_566
j' ai très peur	ngid_567
voir les	ngid_568
il ne faut pas se	ngid_569
mais la	ngid_570
vous ne	ngid_571
elle a dix ans	ngid_572
homme de	ngid_573
fait une	ngid_574
vous n'	ngid_575
à 100	ngid_576
qu' ils veulent	ngid_577
communistes ont	ngid_578
s' il y a	ngid_579
une voiture	ngid_580
aime pas	ngid_581
le droit	ngid_582
est né à paris	ngid_583
prêts à	ngid_584
nous ça	ngid_585
là - dedans	ngid_586
être vraiment	ngid_587
2 800 milliards	ngid_588
n' arrive pas	ngid_589
on ne fait pas	ngid_590
qu' est - ce qui	ngid_591
il l' a	ngid_592
elle a été	ngid_593
à l' udf	ngid_594
une petite	ngid_595
donc il y	ngid_596
moi je suis	ngid_597
est fait	ngid_598
histoire de	ngid_599
peut - être que	ngid_600
on a vu	ngid_601
et puis en plus	ngid_602
avait pas	ngid_603
et ce n' est pas	ngid_604
peut - être qu'	ngid_605
on va le	ngid_606
mais ce	ngid_607
je les	ngid_608
pas communiste	ngid_609
ça et puis	ngid_610
de la résistance	ngid_611
finalement on	ngid_612
tout son	ngid_613
ne sais pas comment ça	ngid_614
à tous	ngid_615
je fais	ngid_616
que les gens	ngid_617
dire que les	ngid_618
aux municipales	ngid_619
qui va	ngid_620
chaque année	ngid_621
qu' il	ngid_622
mon grand - père	ngid_623
c' est sérieux	ngid_624
peu plus	ngid_625
à 60	ngid_626
plus au	ngid_627
comment ça a évolué	ngid_628
à droite	ngid_629
est né	ngid_630
les murs	ngid_631
mecs qui travaillent dans l'	ngid_632
est certainement	ngid_633
rentrer un lot de jeunes	ngid_634
plus on	ngid_635
une fois	ngid_636
et l'	ngid_637
a décidé de	ngid_638
que c' est vraiment	ngid_639
avant d' être	ngid_640
cette immigration	ngid_641
sont quand même	ngid_642
avec tout	ngid_643
- ce que vous vous	ngid_644
alors qu'	ngid_645
a une	ngid_646
parce que malgré	ngid_647
dans l'	ngid_648
c' est autre chose	ngid_649
et puis je	ngid_650
des idées	ngid_651
dans le	ngid_652
dans la	ngid_653
qu' on ne peut plus	ngid_654
où on a	ngid_655
on a bien	ngid_656
il n' y a rien	ngid_657
deux jours	ngid_658
que pour moi	ngid_659
puisque j'	ngid_660
cas il	ngid_661
« bon	ngid_662
des millions	ngid_663
pas d'	ngid_664
comme on	ngid_665
que mitterrand	ngid_666
si ils veulent militer	ngid_667
qui travaille dans	ngid_668
pas du	ngid_669
on fait	ngid_670
plus tard	ngid_671
toujours des gens	ngid_672
combien il y a de	ngid_673
pas parce qu' une idée	ngid_674
où on va	ngid_675
en place	ngid_676
ce qui s' est passé	ngid_677
veulent plus	ngid_678
si on leur	ngid_679
les mêmes	ngid_680
faire des il	ngid_681
disent «	ngid_682
choses en	ngid_683
il y avait	ngid_684
qu' il y a vraiment	ngid_685
je n' en vois pas	ngid_686
eux qui	ngid_687
a cette époque - là	ngid_688
il y a beaucoup	ngid_689
novembre 2009	ngid_690
si les	ngid_691
fait pas	ngid_692
des pays	ngid_693
fait deux	ngid_694
quel qu' il soit	ngid_695
choisi de	ngid_696
et là	ngid_697
donc là	ngid_698
très sensibilisé par	ngid_699
je pense que ça	ngid_700
de l' armistice	ngid_701
qui sont très	ngid_702
faut que ça	ngid_703
ne m' en occupais pas	ngid_704
les vraies valeurs	ngid_705
je suis là	ngid_706
des des	ngid_707
montrer qu' on est	ngid_708
mais on ne peut	ngid_709
ça serait	ngid_710
la maison	ngid_711
si on regarde	ngid_712
ne les	ngid_713
fait rentrer un lot de	ngid_714
un cap de	ngid_715
est le plus	ngid_716
mais qu' est - ce	ngid_717
la direction	ngid_718
l' inflation	ngid_719
il faut les prendre	ngid_720
y a un	ngid_721
a été le	ngid_722
on commence à	ngid_723
au cours	ngid_724
qu' en plus	ngid_725
entre nous	ngid_726
on est valable à 100	ngid_727
y aller	ngid_728
a également	ngid_729
ce sentiment	ngid_730
d' etat	ngid_731
en fait	ngid_732
pas giscard	ngid_733
mais il y	ngid_734
l' entreprise qui	ngid_735
ce n' est peut -	ngid_736
comment ça se	ngid_737
je veux bien	ngid_738
des hommes	ngid_739
pas dans le	ngid_740
c' est tout ce que	ngid_741
être plus	ngid_742
en ont	ngid_743
vous disiez	ngid_744
pas croire	ngid_745
y en a	ngid_746
qu' on va	ngid_747
mais pour le moment	ngid_748
vous voyez	ngid_749
qu' ils et	ngid_750
toujours des	ngid_751
moi je pense que	ngid_752
l' information	ngid_753
dans cette voie	ngid_754
ils ne font rien	ngid_755
avec le recul	ngid_756
pas mal	ngid_757
que sur	ngid_758
ça peut	ngid_759
dans quel	ngid_760
une cause	ngid_761
elle ne	ngid_762
pas les	ngid_763
d' un	ngid_764
l' objectif	ngid_765
ce qu' ils veulent	ngid_766
elle n'	ngid_767
coûte cher	ngid_768
des choses qui	ngid_769
ce qu' il a fait	ngid_770
pour montrer	ngid_771
i1 y a	ngid_772
quand même un	ngid_773
un homme d'	ngid_774
que les plus	ngid_775
disons que	ngid_776
combien de	ngid_777
est la	ngid_778
en commun	ngid_779
d' avoir	ngid_780
à faire	ngid_781
le changement de	ngid_782
la moyenne	ngid_783
est - ce qu' on	ngid_784
on favorise	ngid_785
que vous vous rendez compte	ngid_786
qui faisaient	ngid_787
vois pas	ngid_788
ne fait pas	ngid_789
il y a des hommes	ngid_790
on aurait pu	ngid_791
alors je	ngid_792
en plus	ngid_793
il n' y	ngid_794
jours après	ngid_795
la même chose	ngid_796
j' ai l' impression	ngid_797
ont été	ngid_798
qu' à	ngid_799
d' eux	ngid_800
je suis pour	ngid_801
ils étaient	ngid_802
parce qu' on le	ngid_803
pas vraiment	ngid_804
et pas	ngid_805
je n' arrive	ngid_806
le prend	ngid_807
les derniers	ngid_808
je peux vous dire	ngid_809
n' y a plus de	ngid_810
en a	ngid_811
là il y a	ngid_812
qu' eux	ngid_813
à des	ngid_814
on arrive	ngid_815
là ils	ngid_816
quand on voit	ngid_817
comment ça se fait qu'	ngid_818
qu' on peut	ngid_819
un espoir	ngid_820
elles sont	ngid_821
pas pour	ngid_822
les manquements	ngid_823
est qu'	ngid_824
ça devient	ngid_825
ce n' est pas du	ngid_826
sur le	ngid_827
sur la	ngid_828
avec sa	ngid_829
en grève	ngid_830
que je sois	ngid_831
sur l'	ngid_832
sont en train de	ngid_833
ne sont	ngid_834
de fournir	ngid_835
enfin il y a	ngid_836
bien qu' il	ngid_837
à financer	ngid_838
il n' a	ngid_839
donc j' ai	ngid_840
comme vous le savez	ngid_841
aux cantonales	ngid_842
on est obligés de	ngid_843
c' est on	ngid_844
qu' ils vont	ngid_845
et puis vous	ngid_846
j' ai un peu ce	ngid_847
travaillé dans	ngid_848
est peut - être pas	ngid_849
ils doivent	ngid_850
ce que c' est	ngid_851
de nous	ngid_852
fait les comptes	ngid_853
je trouve que c' est	ngid_854
on ne veut pas le	ngid_855
la cérémonie de commémoration	ngid_856
on continue	ngid_857
je n' ai	ngid_858
enfin il	ngid_859
grand - père est	ngid_860
on avait	ngid_861
touche un salaire	ngid_862
voulais pas	ngid_863
de la nation	ngid_864
ou 20	ngid_865
que si on	ngid_866
que la france	ngid_867
la décadence et	ngid_868
la construction	ngid_869
y a des choses	ngid_870
n' en a pas	ngid_871
mettre un	ngid_872
qu' on	ngid_873
bien un	ngid_874
capacité militaire	ngid_875
on se	ngid_876
y en a qui ont	ngid_877
le tour	ngid_878
ou de se	ngid_879
a coûté	ngid_880
sont anxieux	ngid_881
je crois qu' il faut	ngid_882
ne veut	ngid_883
ces gens - là	ngid_884
peut - être plus	ngid_885
que ce	ngid_886
qu' ils sont	ngid_887
malgré tout	ngid_888
que c'	ngid_889
par contre	ngid_890
est quand	ngid_891
c' est ça	ngid_892
parce qu' on	ngid_893
ans qu'	ngid_894
capable de	ngid_895
on attend	ngid_896
qu' il a fait	ngid_897
j' ai l' impression que	ngid_898
ce qui se	ngid_899
le bombardier	ngid_900
une forte	ngid_901
j' ai l' impression qu'	ngid_902
va faire	ngid_903
qu' en france	ngid_904
ce qui s'	ngid_905
je ne m'	ngid_906
- cinq	ngid_907
je regarde	ngid_908
sont trop	ngid_909
je ne me	ngid_910
ou à	ngid_911
bien qu'	ngid_912
des irresponsables	ngid_913
parce qu' en	ngid_914
bien que	ngid_915
on ira	ngid_916
a voulu	ngid_917
sous le	ngid_918
un mois	ngid_919
maintenant on	ngid_920
100 %	ngid_921
je suppose	ngid_922
le bas de	ngid_923
ou de la	ngid_924
ça n' allait pas	ngid_925
une mesure	ngid_926
de «	ngid_927
j' en	ngid_928
pas de	ngid_929
de l' etat	ngid_930
autre sans	ngid_931
que vous	ngid_932
dire qu' ils	ngid_933
j' ai éte	ngid_934
droite qu'	ngid_935
ce n' est pas possible	ngid_936
même plus	ngid_937
il faut	ngid_938
dès qu' il	ngid_939
point positif	ngid_940
de le	ngid_941
j' ai été	ngid_942
alors après	ngid_943
de l'	ngid_944
il vous paye	ngid_945
de plus	ngid_946
de 14 % d' inflation	ngid_947
jusqu' au	ngid_948
mais j'	ngid_949
mais il y a quand	ngid_950
sans tomber	ngid_951
on est dans l'	ngid_952
voilà ce	ngid_953
c' est enfin	ngid_954
prennent pas	ngid_955
au chômage	ngid_956
a encore	ngid_957
a un	ngid_958
elle est	ngid_959
dans un	ngid_960
on ne le	ngid_961
le chef de l' etat	ngid_962
moi j' ai	ngid_963
fait sur	ngid_964
qu' on a	ngid_965
il faut bien	ngid_966
le mec	ngid_967
ils ont eu	ngid_968
je n' en	ngid_969
il y avait le	ngid_970
ont reculé	ngid_971
le dos	ngid_972
est bon	ngid_973
un petit	ngid_974
est à	ngid_975
l' a	ngid_976
on en arrive	ngid_977
il y a trop de	ngid_978
que la retraite	ngid_979
qu' ils soient	ngid_980
dans le gilet	ngid_981
elle va	ngid_982
défense nationale	ngid_983
c' est qu'	ngid_984
bien »	ngid_985
c' est peut - être	ngid_986
c' est que	ngid_987
ils l' ont	ngid_988
pas voté	ngid_989
ressortir les manquements	ngid_990
pas dans	ngid_991
ça se	ngid_992
des entreprises	ngid_993
ces gens	ngid_994
pas là pour	ngid_995
si ils	ngid_996
que ça ne	ngid_997
pas être	ngid_998
on dirait qu' ils	ngid_999
est c' est	ngid_1000
pas de mitterrand	ngid_1001
potentiel humain	ngid_1002
vous paie	ngid_1003
on lui a demandé	ngid_1004
du tout	ngid_1005
à la	ngid_1006
que comme	ngid_1007
avec hinault	ngid_1008
déporté vers	ngid_1009
ça un peu	ngid_1010
mais il n'	ngid_1011
fait qu'	ngid_1012
sont quand	ngid_1013
pour semer la panique	ngid_1014
ça s'	ngid_1015
de se	ngid_1016
au départ	ngid_1017
au courant	ngid_1018
ils ont travaillé	ngid_1019
fait le tour	ngid_1020
il va falloir un	ngid_1021
ss 20	ngid_1022
c' est l' état qui	ngid_1023
dire que	ngid_1024
parce que les	ngid_1025
dire qu'	ngid_1026
sur les	ngid_1027
c' est ça et	ngid_1028
mais enfin j' ai	ngid_1029
de famille	ngid_1030
n' ont plus	ngid_1031
ils ne prennent pas leurs	ngid_1032
de français	ngid_1033
je travaille dans le	ngid_1034
états - unis	ngid_1035
est grave	ngid_1036
ils ont	ngid_1037
pas tous égaux	ngid_1038
c' est un c' est	ngid_1039
n' ira	ngid_1040
ce que ça	ngid_1041
pour les	ngid_1042
pas qu'	ngid_1043
des avions	ngid_1044
le mec qui	ngid_1045
cap de	ngid_1046
qu' ils ne	ngid_1047
positif quand	ngid_1048
pas plus	ngid_1049
prennent pas les mesures	ngid_1050
mais c' est tout	ngid_1051
de milliards	ngid_1052
l' année	ngid_1053
bas de	ngid_1054
ce que ça veut dire	ngid_1055
un an	ngid_1056
il y a eu un	ngid_1057
je crois que c' est	ngid_1058
qu' on n'	ngid_1059
n' a plus	ngid_1060
qu' on ne	ngid_1061
qui est	ngid_1062
des cultures	ngid_1063
il y a trente quarante	ngid_1064
est comme ça	ngid_1065
avais déjà	ngid_1066
qu' il va	ngid_1067
puisqu' on	ngid_1068
on va	ngid_1069
pas ça	ngid_1070
mon père	ngid_1071
mais enfin ce n' est	ngid_1072
pas exactement	ngid_1073
